video_id,video_path,start_time,end_time,text_english,gloss_asl,palabras_en,palabras_asl,ratio_longitud
2hcLIu4HCcY,data/2hcLIu4HCcY/2hcLIu4HCcY.mp4,00:00:55.700,00:01:02.180,and they passed down DNA to each other. They had the GJB2 Deaf DNA gene,X-Y HAVE GJB2 DESC-DEAF GENE,15,5,0.33333111112592584
XhWtT1yhSTs,data/XhWtT1yhSTs/XhWtT1yhSTs.mp4,00:00:14.440,00:00:17.823,about the purpose of a lamp.,ABOUT PURPOSE LAMP.,6,3,0.49999166680555324
RyVoCycLgzM,data/RyVoCycLgzM/RyVoCycLgzM.mp4,00:00:37.760,00:00:39.160,"""March 30 - April 1, 2017, Northwest Film Forum, Seattle, WA"" and "" Seattle Deaf Film Festival 2018""]","AND ""SEARCH DESC-DEAF FILM FRIEND 2018""]",18,6,0.3333314814917695
ryxzUxQ5i8s,data/ryxzUxQ5i8s/ryxzUxQ5i8s.mp4,00:00:07.430,00:00:19.000,"what you see are some yards shared by apartment buildings here. >> ROBYN: We've had a lot of wild experiences recently with Hurricane Irene,",">> ROBYN: X-WE HAVE HAVE LOT DESC-WILD EXPERIENCE DESC-RECENTLY WITH HURRICANE IRENE,",24,12,0.4999979166753472
K23fgDBdFII,data/K23fgDBdFII/K23fgDBdFII.mp4,00:08:12.080,00:08:13.360,Cool. Right?,DESC-RIGHT?,2,1,0.49997500124993743
eLoTGscYCdA,data/eLoTGscYCdA/eLoTGscYCdA.mp4,00:00:18.300,00:00:24.420,16. Here,DESC-HERE,2,1,0.49997500124993743
6ID_GzmmHiI,data/6ID_GzmmHiI/6ID_GzmmHiI.mp4,00:02:22.960,00:02:25.540,the scenes.,SCENE.,2,1,0.49997500124993743
eLoTGscYCdA,data/eLoTGscYCdA/eLoTGscYCdA.mp4,00:00:36.100,00:00:45.400,18. Sick,SICK,2,1,0.49997500124993743
eLoTGscYCdA,data/eLoTGscYCdA/eLoTGscYCdA.mp4,00:00:46.820,00:00:51.740,19. Work,WORK,2,1,0.49997500124993743
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:00:02.460,00:00:05.980,"Today, we're doing something a little fun. The Harry Potter Tag.",HARRY PARKER TAG. DESC-LITTLE FUN.,11,5,0.454541322351615
eLpHf9bfdsI,data/eLpHf9bfdsI/eLpHf9bfdsI.mp4,00:00:19.620,00:00:22.740,three of a kind,THREE KIND,4,2,0.49998750031249223
--7t6QjMwpY,data/--7t6QjMwpY/--7t6QjMwpY.mp4,00:03:11.460,00:03:16.040,for any person who is eligible. Testing is by appointment only.,TESTING BE BY APPOINTMENT DESC-ONLY.,11,5,0.454541322351615
XhWtT1yhSTs,data/XhWtT1yhSTs/XhWtT1yhSTs.mp4,00:02:09.426,00:02:15.952,He rebukes the storm⁠—which carries the idea of a sharp response⁠—,WHICH CARRY IDEA DESC-SHARP RESPONSE?,11,5,0.454541322351615
vPLSV6VDvXw,data/vPLSV6VDvXw/vPLSV6VDvXw.mp4,00:16:58.300,00:17:01.066,is the support of the administrators,BE SUPPORT ADMINISTRATOR,6,3,0.49999166680555324
MajEdg3-vG4,data/MajEdg3-vG4/MajEdg3-vG4.mp4,00:00:22.489,00:00:23.557,a picture of a flower.,PICTURE FLOWER.,5,2,0.3999920001599968
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:00:35.580,00:00:36.900,The third one. Easy.,DESC-EASY. ONE.,4,2,0.49998750031249223
Rz415q6QI9s,data/Rz415q6QI9s/Rz415q6QI9s.mp4,00:01:02.100,00:01:10.180,"#6? Ugh, I don't know!! Number.. WHATEVER. :)",. WHATEVER.? DESC-NOT KNOW!!,8,4,0.499993750078124
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:01:29.020,00:01:35.840,"Like I just said, the fifth movie had a lot of cut scenes. I probably would change the fifth movie.",X-I DESC-PROBABLY WOULD CHANGE DESC-FIFTH FILM. LOT CUT SCENE.,20,9,0.44999775001125
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:00:38.880,00:00:44.800,But I want to get back into vlogging. If I vlog without any updates to previous,IF X-I VLOG WITHOUT ANY UPDATE TO DESC-PREVIOUS,16,8,0.49999687501953116
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:01:15.600,00:01:22.000,"There was mold, mainly in my bedroom. I was sick a lot then. Awful.",X-I BE DESC-SICK LOT DESC-N. DESC-AWEFUL.,14,6,0.4285683673688045
AGtVxs-O5D8,data/AGtVxs-O5D8/AGtVxs-O5D8.mp4,00:00:00.940,00:00:08.780,1. Hi,HI,2,1,0.49997500124993743
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:01:32.000,00:01:35.740,We have TONS of natural light. Like A LOT.,LIKE DESC-LOT. DESC-NATURAL LIGHT.,9,4,0.4444395062277086
6IlzyR80mU4,data/6IlzyR80mU4/6IlzyR80mU4.mp4,00:00:06.583,00:00:12.583,"It is Thursday, March 5. Ready for news?",DESC-READY FOR NEWS?,8,3,0.37499531255859303
I976oI3s1jQ,data/I976oI3s1jQ/I976oI3s1jQ.mp4,00:05:11.811,00:05:14.047,the spread of COVID-19.,SPREAD COVID-19.,4,2,0.49998750031249223
PZtpi4J8miw,data/PZtpi4J8miw/PZtpi4J8miw.mp4,00:00:15.705,00:00:19.714,"...as we get closer to Him. Sing ""Open My Eyes.""",SING -OPEN X-MY EYE. X-I.,10,5,0.4999950000499995
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:03:46.540,00:03:50.900,Molly. I love her. She's an amazing woman.,X-SHE BE DESC-AMAZING WOMAN.,8,4,0.499993750078124
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:03:59.520,00:04:03.320,Maggie Smith! Amazing woman!,DESC-AMAZING WOMAN!,4,2,0.49998750031249223
o-DyMsLBnMU,data/o-DyMsLBnMU/o-DyMsLBnMU.mp4,00:03:51.625,00:03:55.903,"He is the one true God. All other gods are false gods,","ALL DESC-OR GOD BE DESC-FALSE GOD,",12,6,0.49999583336805525
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:03:04.600,00:03:08.820,Why not earlier? Later? Just a weird time to happen.,DESC-JUST DESC-RIGGLE TIME TO HAPPEN.,10,5,0.4999950000499995
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:04:57.380,00:05:06.320,"But if he was in more movies, maybe it could be more of a fair comparison. But. Only two movies so...",BUT. ONLY TWO FILMER DESC-SO... COULD BE MORE DESC-FAIR COMPARISON.,21,10,0.476188208627578
-0VIwubCjpM,data/-0VIwubCjpM/-0VIwubCjpM.mp4,00:00:28.980,00:00:33.760,"DeafDisabled, and Hard of Hearing. Including CODAs and KODAs!",INCLUDE CODA AND KODA!,9,4,0.4444395062277086
Xi0ZGzihKzI,data/Xi0ZGzihKzI/Xi0ZGzihKzI.mp4,00:00:50.400,00:00:54.020,Thank you all for your involvement and inputs! *waving hand*,WAVE HAND*,10,2,0.19999800001999982
PZySHQDujjQ,data/PZySHQDujjQ/PZySHQDujjQ.mp4,00:02:48.090,00:02:50.920,the country.,COUNTRY.,2,1,0.49997500124993743
xI2Lp7fA_bQ,data/xI2Lp7fA_bQ/xI2Lp7fA_bQ.mp4,00:00:06.260,00:00:08.580,MS. WALKER,WALKER,2,1,0.49997500124993743
xI2Lp7fA_bQ,data/xI2Lp7fA_bQ/xI2Lp7fA_bQ.mp4,00:00:09.140,00:00:11.140,MS. SWANN,SWANN,2,1,0.49997500124993743
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:04:25.280,00:04:31.160,"Currently, I'm still working for the same organization. I do their social media, website... basically","X-I DO X-Y DESC-SOCIAL MEDIA, WEBSITE... DESC-BASICALLY",15,7,0.4666635555762962
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:04:31.220,00:04:36.600,all of their online stuff. And graphic design too.,AND DESC-GRIMICS DESIGN DESC-TOO.,9,4,0.4444395062277086
-2eTHYdyhCY,data/-2eTHYdyhCY/-2eTHYdyhCY.mp4,00:00:18.180,00:00:28.780,ITOC .,ITOC.,2,1,0.49997500124993743
xI2Lp7fA_bQ,data/xI2Lp7fA_bQ/xI2Lp7fA_bQ.mp4,00:00:11.140,00:00:13.220,MRS. SALUTO,SALUTO,2,1,0.49997500124993743
xI2Lp7fA_bQ,data/xI2Lp7fA_bQ/xI2Lp7fA_bQ.mp4,00:00:13.880,00:00:16.320,MS. CONSTANTINE,CONSTANTINE,2,1,0.49997500124993743
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:04:57.980,00:05:03.320,"Because my respite work was mainly done along with school. When school was finished, I'd walk the kid","WHEN SCHOOL BE FINISH, X-I WRONG KIDS",18,7,0.3888867284070644
xI2Lp7fA_bQ,data/xI2Lp7fA_bQ/xI2Lp7fA_bQ.mp4,00:00:17.020,00:00:19.020,MRS. EVANS,EVANS,2,1,0.49997500124993743
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:00:43.313,00:00:47.143,What are the factors of 3?,NAME FACTOR 3?,6,3,0.49999166680555324
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:06:20.440,00:06:23.560,"I love Harry Potter. The stories, everything.","STORY, EVERYTHING.",7,2,0.28571020413994086
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:00:47.143,00:00:49.814,1 and 3. 1x3=3.,1X3=3.,4,1,0.24999375015624611
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:00:57.943,00:01:03.000,What are the factors of 4?,NAME FACTOR 4?,6,3,0.49999166680555324
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:06:37.360,00:06:43.800,The next video may be a book video or an ASL Ponderings. I don't know yet. We'll see.,X-I DO DESC-NOT KNOW DESC-YET. X-WE WILL SEE.,18,8,0.44444197532235935
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:06:44.580,00:06:50.420,And maybe a kinda travel vlog? I don't know. You will see.,X-YOU WILL SEE. VOLOG?,12,4,0.3333305555787035
GhWjWffvbxc,data/GhWjWffvbxc/GhWjWffvbxc.mp4,00:06:50.420,00:06:56.880,"Don't forget to follow me on social media and subscribe! Patreon, ko-fi, all links below!","PARREON, KOFI, ALL LINK BELOW!",15,5,0.33333111112592584
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:01:03.000,00:01:07.971,1 and 4. 1x4=4.,1X4=4.,4,1,0.24999375015624611
AHj0jXqH1lg,data/AHj0jXqH1lg/AHj0jXqH1lg.mp4,00:03:00.980,00:03:03.480,To meet with you in the future. Thank you!,THANK X-YOU! IN FUTURE.,9,4,0.4444395062277086
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:01:37.228,00:01:44.675,How many factors does 5 have? It only has 1 and 5. 5 is a prime number.,5 BE DESC-PRIME NUMBER DO 5 HAVE?,17,7,0.41176228375127205
rZH-PJ9YQrs,data/rZH-PJ9YQrs/rZH-PJ9YQrs.mp4,00:00:24.144,00:00:25.585,a lot of anxiety.,LOT ANXIETY.,4,2,0.49998750031249223
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:01:44.675,00:01:51.427,How many factors does 6 have? 1 and 6. 2 and 3.,2 AND 3) DO 6 HAVE?,12,6,0.49999583336805525
k2qIPHcyvjg,data/k2qIPHcyvjg/k2qIPHcyvjg.mp4,00:01:07.840,00:01:13.800,The first one is. The third one is... A little bit secret. Sort of.,SORT. DESC-THIRD ONE BE... DESC-LITTLE BIT SECRET.,14,7,0.4999964285969386
xi7RJpXmLX4,data/xi7RJpXmLX4/xi7RJpXmLX4.mp4,00:02:02.484,00:02:09.560,1 and 14. 2 and 7. 14 is a composite number.,14 BE COMPOSITE NUMBER.,11,4,0.363633057881292
AHppi4FwKj8,data/AHppi4FwKj8/AHppi4FwKj8.mp4,00:00:22.655,00:00:28.327,concerning the ways of the Lord.,CONCERN WAY HORN.,6,3,0.49999166680555324
2hgQAzs0FPc,data/2hgQAzs0FPc/2hgQAzs0FPc.mp4,00:01:57.760,00:02:01.280,I hope to see you there! What is the march is all about?,WHAT BE MARCH BE ALL ABOUT?,13,6,0.4615349112699133
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:06:50.640,00:06:52.640,BIG NO. Nope.,NOPE.,3,1,0.3333222225925802
gHymFumIzTI,data/gHymFumIzTI/gHymFumIzTI.mp4,00:01:24.040,00:01:27.400,"a fork,","FORK,",2,1,0.49997500124993743
PZySHQDujjQ,data/PZySHQDujjQ/PZySHQDujjQ.mp4,00:06:32.370,00:06:39.000,a new or small art organization that wants a training‑wheels status before deciding,WHEEL STATUS BEFORE DECIDE,13,4,0.3076899408466089
-2eTHYdyhCY,data/-2eTHYdyhCY/-2eTHYdyhCY.mp4,00:02:38.840,00:02:39.520,the position of Chair.,POSITION CHAIR.,4,2,0.49998750031249223
xi9-kX8epnU,data/xi9-kX8epnU/xi9-kX8epnU.mp4,00:00:00.520,00:00:02.040,Hello! Hello!,HAHH!,2,1,0.49997500124993743
ZHcFnYv59Ts,data/ZHcFnYv59Ts/ZHcFnYv59Ts.mp4,00:00:50.380,00:00:55.700,"The first one said ""You hear that?"" It snaps and pops!",X-IT SKIP AND POP! THAT?,11,5,0.454541322351615
k2u8Mpxdcwc,data/k2u8Mpxdcwc/k2u8Mpxdcwc.mp4,00:01:31.300,00:01:33.300,On your left is the music suite. Here you can enter through the two gray doors!,DESC-HERE X-YOU CAN ENTER THROUGH TWO DESC-GRAY DOOR!,16,8,0.49999687501953116
AHppi4FwKj8,data/AHppi4FwKj8/AHppi4FwKj8.mp4,00:00:48.181,00:00:55.254,began with us.” Then Christian,DESC-N DESC-CHRISTIAN,5,2,0.3999920001599968
-2eTHYdyhCY,data/-2eTHYdyhCY/-2eTHYdyhCY.mp4,00:03:23.506,00:03:26.726,and happy new year. ILY!,DESC-ILY! YEAR.,5,2,0.3999920001599968
ZHcFnYv59Ts,data/ZHcFnYv59Ts/ZHcFnYv59Ts.mp4,00:02:02.780,00:02:06.020,I get excited! I place the bowl on the table.,X-I PLACE BOWLE ON TABLE.,10,5,0.4999950000499995
tvWmTj8bC7M,data/tvWmTj8bC7M/tvWmTj8bC7M.mp4,00:08:53.400,00:08:56.100,"Nope, a motorcycle. Never mind.",DESC-NEVER MIND.,5,2,0.3999920001599968
ZHcFnYv59Ts,data/ZHcFnYv59Ts/ZHcFnYv59Ts.mp4,00:02:16.560,00:02:20.800,I hear nothing. I try again.,X-I TRY DESC-AGAIN.,6,3,0.49999166680555324
2hjV5sd9uoc,data/2hjV5sd9uoc/2hjV5sd9uoc.mp4,00:00:35.440,00:00:36.640,of an Open Mindset,DESC-OPEN MINDSET,4,2,0.49998750031249223
tVXEAfH252w,data/tVXEAfH252w/tVXEAfH252w.mp4,00:00:16.340,00:00:22.100,"For those who don't know, I'm currently in LA. Los Angeles. The city, not the state.","LADY, DESC-NOT STATE. X-I BE DESC-CURRENTLY IN LA.",16,8,0.49999687501953116
tVXEAfH252w,data/tVXEAfH252w/tVXEAfH252w.mp4,00:00:22.840,00:00:28.760,"I'm visiting for a couple weeks. Some work, some pleasure.","SOME WORK, SOME PLEASURE. WEEK.",10,5,0.4999950000499995
2hjV5sd9uoc,data/2hjV5sd9uoc/2hjV5sd9uoc.mp4,00:00:44.240,00:00:45.600,An example of an open,EXAMPLE DESC-OPEN,5,2,0.3999920001599968
tVXEAfH252w,data/tVXEAfH252w/tVXEAfH252w.mp4,00:01:06.300,00:01:13.300,"The reason why I was in Portland was to visit my friend. And of course, we had to go to Powell's. Duh!","DESC-UND COURSE, X-WE HAVE TO GO TO POWELL X-POSS.",22,9,0.4090890495952291
ZHcFnYv59Ts,data/ZHcFnYv59Ts/ZHcFnYv59Ts.mp4,00:02:58.960,00:03:08.720,"I never heard the cereal sounds. And, the cereal was gross.","AND, CEREAL BE DESC-GROSS.",11,4,0.363633057881292
ZHcFnYv59Ts,data/ZHcFnYv59Ts/ZHcFnYv59Ts.mp4,00:03:08.720,00:03:10.556,The end!,END!,2,1,0.49997500124993743
r_93yBE_6R4,data/r_93yBE_6R4/r_93yBE_6R4.mp4,00:00:06.131,00:00:11.428,"It's Wednesday, September 18. Ready for the news?",DESC-READY FOR NEWS?,8,3,0.37499531255859303
mbf1SYuv-S8,data/mbf1SYuv-S8/mbf1SYuv-S8.mp4,00:00:36.340,00:00:38.300,"Now, let get all ready to start the Final Exam! Good Luck!!",DESC-GOOD LUCK!!!,12,2,0.16666527778935175
VpmMbKUjqXw,data/VpmMbKUjqXw/VpmMbKUjqXw.mp4,00:01:05.250,00:01:10.170,"contact Richard Cavanagh, CEO/Funding Officer by email. 24 00:01:10,190 --> 00:00:00,000","24 00:01:10,190 --> 00:00:00,000",11,4,0.363633057881292
tVXEAfH252w,data/tVXEAfH252w/tVXEAfH252w.mp4,00:03:36.040,00:03:43.560,"That day of rehearsals, I was asked to go. Sure. So I saw a little bit, a sneak preview.","DESC-SO X-I SEE DESC-LITTLE BIT, SLEEP PREVIEW.",19,7,0.36841911358361273
Mbiu3ADKwKQ,data/Mbiu3ADKwKQ/Mbiu3ADKwKQ.mp4,00:00:11.280,00:00:17.460,Why should you come and watch us? The answer's simple. It's the story!,ANSWER X-POSS DESC-SIMPLE. STORY!,13,4,0.3076899408466089
AHppi4FwKj8,data/AHppi4FwKj8/AHppi4FwKj8.mp4,00:02:21.441,00:02:26.078,deep sense of the value of the,DESC-DEEP SENSE VALUE,7,3,0.4285653062099113
tVXEAfH252w,data/tVXEAfH252w/tVXEAfH252w.mp4,00:04:37.520,00:04:42.680,"Now, who did the interpreting varied. The MC, professional interpreters did that.","MC, DESC-PROFESSIONAL INTERPRETER DO THAT.",12,5,0.4166631944733794
CiR8KUFY6Vs,data/CiR8KUFY6Vs/CiR8KUFY6Vs.mp4,00:05:00.289,00:05:05.400,all right so I'm a student. Right? that's great so that clip,THAT BE DESC-GREAT DESC-SO THAT CREDIT,12,6,0.49999583336805525
elyTFSImpJU,data/elyTFSImpJU/elyTFSImpJU.mp4,00:04:42.980,00:04:45.760,of the process.,PROCESS.,3,1,0.3333222225925802
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:00:00.000,00:00:07.220,Hello everbody. I want to introduce myself. My name is,X-I WANT TO INTRODUCE X-MYSELF.,10,5,0.4999950000499995
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:00:21.260,00:00:33.280,I never feel dull living here. I loves living here. I am truly city lady. Yes.,X-I BE DESC-TRULY CITY LADY. DESC-HERE.,16,6,0.37499765626464837
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:00:33.420,00:00:41.680,And I have a son. He age 15. Himself is deaf.His name is Nolan,X-HIMSELF BE DESC-DEAF. X-HIM NAME BE NOLAN,14,7,0.4999964285969386
VPSRO0-4MMg,data/VPSRO0-4MMg/VPSRO0-4MMg.mp4,00:06:07.940,00:06:25.000,We asked if training can be set up. Good news! It was passed into law,X-IT BE PASS INTO LAW,15,5,0.33333111112592584
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:01:21.520,00:01:30.360,"Unfortunately, both of my parents was passed away. I still miss them. I still thinking about them often.",X-I DESC-STILL THINK ABOUT X-Y DESC-OFTEN. DESC-AWAY.,18,7,0.3888867284070644
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:01:31.280,00:01:43.620,And myself working with Deaf/Blind clients. I enjoy work with them. It give me a great experience.,X-IT GIVE X-I DESC-GREAT EXPERIENCE. WORK WITH X-Y.,17,8,0.47058546714431093
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:01:59.260,00:02:14.280,It have wonderful program for Deaf and Hard of Hearing. He enjoy and love doing CAD - Computer Aided Drafting.,X-HE ENJOY AND LOVE DO CAD - COMPUTER AID DRAFT.,20,10,0.49999750001249993
AhVaJ8QJyoU,data/AhVaJ8QJyoU/AhVaJ8QJyoU.mp4,00:02:14.320,00:02:22.500,He loves thinking and design the interior of houses. He doing well.,X-HE DO DESC-WELL. DESIGN INTERIOR HOUSE.,12,6,0.49999583336805525
-2UZsKfaGIk,data/-2UZsKfaGIk/-2UZsKfaGIk.mp4,00:00:25.700,00:00:26.700,I have a Deaf family. I graduated from Gallaudet University,X-I GRADUATE FROM GALLUBET UNIVERSITY,10,5,0.4999950000499995
6IlzyR80mU4,data/6IlzyR80mU4/6IlzyR80mU4.mp4,00:13:07.916,00:13:09.791,"""Are you okay?"" ""Are you alive?""",BE X-YOU DESC-OK?,6,3,0.49999166680555324
6IlzyR80mU4,data/6IlzyR80mU4/6IlzyR80mU4.mp4,00:13:21.750,00:13:23.541,We feel blessed. Absolutely.,DESC-ABSOLUTELY. BUSH.,4,2,0.49998750031249223
2Hy6uXW2TjY,data/2Hy6uXW2TjY/2Hy6uXW2TjY.mp4,00:01:46.090,00:01:49.550,"Do you want to see the bylaws? Yes, it is available.","DESC-YES, X-IT BE DESC-AVAILABLE. BULLYLAW?",11,5,0.454541322351615
6IlzyR80mU4,data/6IlzyR80mU4/6IlzyR80mU4.mp4,00:13:59.583,00:14:02.791,I couldn't believe it. It was like a war zone.,X-IT BE LIKE WAR ZONE.,10,5,0.4999950000499995
-2UZsKfaGIk,data/-2UZsKfaGIk/-2UZsKfaGIk.mp4,00:02:07.334,00:02:08.334,What is the hearing standard of media? The New York Times,NEWYORK TIMES,11,2,0.181816528940646
ZhLELjTitfo,data/ZhLELjTitfo/ZhLELjTitfo.mp4,00:00:17.280,00:00:23.740,My relationship with i DEAF NEWS was invaluable. It was all about giving back to the deaf community.,X-IT BE ALL ABOUT GIVE DESC-BACK TO DESC-DEAF COMMUNITY.,18,9,0.49999722223765425
XiJwvy15L6I,data/XiJwvy15L6I/XiJwvy15L6I.mp4,00:01:18.200,00:01:20.140,of a government shutdown.,GOVERNMENT SHUT.,4,2,0.49998750031249223
o00nxayAyPk,data/o00nxayAyPk/o00nxayAyPk.mp4,00:00:27.520,00:00:39.840,"That video was Context in ASL. In that video, I talk about words like make. A lot of people ""misapply"" signs.",LOT PEOPLE MUSSAPPLY SIGN. ABOUT WORD LIKE MAKE.,21,8,0.38095056690206236
Ahx8NS11SdU,data/Ahx8NS11SdU/Ahx8NS11SdU.mp4,00:05:24.780,00:05:29.600,The Gospel of the Lord.,EVANGELIGY HORN.,5,2,0.3999920001599968
-2UZsKfaGIk,data/-2UZsKfaGIk/-2UZsKfaGIk.mp4,00:04:19.394,00:04:20.394,"The name is ""The Daily Moth."" Why?",WHY? DESC-DUALLY MOTH?,7,3,0.4285653062099113
Ai0xfK2xQR8,data/Ai0xfK2xQR8/Ai0xfK2xQR8.mp4,00:00:13.333,00:00:18.200,"When we say “the Holy Trinity” we mean “God”. We know that there is One God,","X-WE KNOW THAT DESC-RE BE ONE GOOD,",16,7,0.43749726564208974
ZhLELjTitfo,data/ZhLELjTitfo/ZhLELjTitfo.mp4,00:01:31.220,00:01:35.000,"When you look at the logo, do not glance it. Take a good long look at the imprint.",TAKE DESC-GOOD DESC-LONG LOOK AT IMPROVE. X-IT.,18,7,0.3888867284070644
