video_id,video_path,start_time,end_time,text_english,gloss_asl
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:02.520,00:01:06.860,The HIV-positive partners in Opposites Attract study had,DESC-HIMOBILISTIC PARTNER IN OPPOSITITE ATTACH STUDY HAVE
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:06.860,00:01:11.160,an undetectable viral load 98% of the time.,DESC-UNDETECTABLE DESC-VIRTUAL LOAD 98% TIME.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:12.700,00:01:16.380,The study recruited and followed-up gay couples,STUDY RECRUIT AND FOLLOW DESC-UP DESC-GAY COUPLE
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:16.380,00:01:24.780,"at clinics in Australia, in Bangkok, and in Rio de Janeiro.","AT DISCIPLINE IN AUSTRALIUM, IN BOTHBURG AND IN RIO DE JOSEIRO."
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:25.540,00:01:32.740,The evidence from Opposites Attract adds to the evidence from the PARTNER study,EVIDENCE FROM OPPOSITE ATTACH ADD TO EVIDENCE FROM PARTNER STUDY
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:32.800,00:01:38.500,that people living with HIV who are on effective HIV treatment that fully,THAT PEOPLE DESC-LIVE WITH HIV WHO BE ON DESC-EFFECTIVE HIV TREATMENT THAT DESC-FULLY
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:38.500,00:01:43.440,suppresses their virus cannot pass on HIV through sex.,SUPPRESS X-Y VICTIM CAN DESC-NOT PASS ON HIV THROUGH SEX.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:44.020,00:01:49.860,"Taken together, the two studies have not found a single case of HIV transmission","TAKE DESC-TOGER, TWO STUDY HAVE DESC-NOT FIND DESC-SINGLE CASE VIH HIV TRANSMISSION"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:49.860,00:01:55.400,"in nearly 40,000 condomless anal sex between gay men.","IN DESC-NEARLY 40,000 CONDOMLESS ANAL SEX BETWEEN DESC-GAY MAN."
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:01:57.240,00:02:04.140,This adds more support to Prevention Access Campaign’s,THIS ADD MORE SUPPORT TO PREVENTION ACCESS CAMPAIGN X-POSS
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:04.140,00:02:08.380,the “U=U” tagline.,U=U” TAGLINE.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:08.820,00:02:13.460,"Their statement has been signed by NAM, an organization that produces resources","X-Y STATEMENT HAVE BE SIGN BY NAM, ORGANIZATION THAT PRODUCE RESOURCE"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:13.460,00:02:17.260,and support for those living with HIV and for service providers.,AND SUPPORT FOR THOSE DESC-LIVE WITH HIV AND FOR SERVICE PROVIDER.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:17.960,00:02:21.140,"Also supported by the International AIDS Society ,","DESC-ALSO SUPPORT BY DESC-INTERNATIONAL SIDA SOCIETY,"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:21.140,00:02:25.440,organisers of this week’s Conference on HIV Science in Paris.,ORGANISER THIS WEEK X-POSS CONFERENCE ON HIV STITUTION IN PARISH.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:27.060,00:02:32.580,"At a press conference on Monday about viral load and infectiousness,","AT PRESS CONFERENCE ON LIVE ABOUT DESC-VIVITAL LOAD AND INFECTIOUSNESS,"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:32.580,00:02:37.440,"Dr Anthony Fauci, Director of the US National Institute","DESC-ANY ANTHONY FAUUCUS, DIRECTOR US DESC-NATIONAL INSITIATIVE"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:37.440,00:02:40.080,"for Allergies and Infectious Diseases, said:","FOR ALLERGY AND DESC-INFECTIOUS DISEASE, SAY :"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:40.080,00:02:45.040,"“Scientists never like to use the word ‘Never’ of a possible risk.""",SCITIZIAN DESC-NEVER LIKE TO USE WORD NEWEVER -POSSIBLE RISK.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:45.160,00:02:47.660,"“But I think in this case we can say that""",BUT X-I THINK IN THIS CASE X-WE CAN SAY THAT.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:47.660,00:02:51.200,"""the risk of transmission from an HIV-positive person""",-RAIK TRANSMISSION FROM HIV-POSITIVE PERSON -RAIVER?
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:51.200,00:02:55.240,"""who takes treatment and has an undetectable viral load""",WHO TAKE TREATMENT AND HAVE DESC-UNDETECTABLE VIRGIN LOAD?
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:55.240,00:02:59.280,"""may be so low as to be unmeasurable,""","MAY BE DESC-SO DESC-LOW AS TO BE DESC-UNMEASURABLE,"""
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:02:59.280,00:03:03.620,"""and that’s equivalent to saying they are uninfectious.""",AND THAT BE EQUIVALENT TO SAY X-Y BE DESC-UNINFECTIVE.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:03:03.620,00:03:09.320,"""It’s an unusual situation when the overwhelming evidence base in science""",X-IT BE DESC-UNUSUAL SITUATION WHEN DESC-OVERWHELMING EVIDENCE BASE IN SCIENCE?
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:03:09.320,00:03:14.060,"""allows us to be confident to say it is a fact.”",ALLOW X-WE TO BE DESC-CONFIDENT TO SAY X-IT BE FACT.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:03.420,00:00:06.381,"Hello, welcome to the Daily Moth.","HALF, DESC-WELCOME TO DESC-DUALLY MOTH."
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:06.381,00:00:11.428,"It's Wednesday, August 28. Ready for the news?",DESC-READY FOR NEWS?
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:14.764,00:00:21.021,Dorian formed into a Cat. 1 hurricane today,DORIAN FORM INTO CAT 1 HURRICANE TODAY
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:21.021,00:00:24.524,and is moving through the Virgin Islands and,AND BE MOVE THROUGH VARIANT ISLAND AND
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:24.524,00:00:29.696,Puerto Rico today with winds up to 90 mph.,PORTO RICO TODAY WITH WIND DESC-UP TO 90 PHPH.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:29.696,00:00:32.490,"It is expected to bring heavy rain,","X-IT BE EXPECT TO BRING HEAVY RAIN,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:32.490,00:00:37.954,"strong winds, and high surf.","DESC-STRONG WIND, AND DESC-HIGH SURF."
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:37.954,00:00:45.462,At risk are mountainous areas that could experience landslides,AT RISK BE DESC-MOUNTAINOUS AREA THAT COULD EXPERIENCE LANDSLIDE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:45.462,00:00:51.468,and homes that haven't had their roofs repaired from,AND HOME THAT HAVE DESC-NOT HAVE X-Y SHORTEN REPAIR FROM
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:51.468,00:00:54.971,Hurricane Maria in 2017.,HURRICANE MARY IN 2017.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:00:54.971,00:01:00.977,Hurricane Dorian will then move towards the Bahamas and,HURRICANE DORIAN WILL DESC-N MOVE TOWARDS BAHAM AND
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:00.977,00:01:06.357,is forecast to turn into a Category 3 hurricane with,BE FORECAST TO TURN INTO CATEGORY 3 HURRICANE WITH
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:06.357,00:01:09.944,a path that has a high probability of making landfall,PATH THAT HAVE DESC-HIGH PROBABILITY MAKE LANDFALL
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:09.944,00:01:16.075,in the southeast U.S. on Sunday or Monday.,IN DESC-SOUTHSIDE U.S. ON SUNDAY OR LUNTY.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:16.075,00:01:22.081,"It may hit Florida, or it might shift northwards towards other","X-IT MAY HIT FLORLAND, OR X-IT MIGHT SHIFT DESC-NORTHWARDS TOWARDS DESC-OR"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:22.081,00:01:26.085,"Atlantic Coast states, or even move past the southern tip","ATLANTIC COAST STATE, OR DESC-EVEN MOVE PAST DESC-SOURN TIP"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:26.085,00:01:32.675,of Florida and into the Gulf of Mexico.,FLORIUM AND INTO GUARANTEE MEXIUM.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:32.675,00:01:38.223,People who live in the southeast U.S. should be,PEOPLE WHO DESC-LIVE IN DESC-SOUTHSOUTH U.S. SHOULD BE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:38.223,00:01:43.895,on alert and start thinking of emergency preparations.,ON DESC-ALERT AND START THINK EMERGENCY PREPARATION.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:43.895,00:01:50.610,President Trump said FEMA and all others are ready.,PRESIDENT TROUBLE SAY FEMA AND ALL DESC-OR BE DESC-READY.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:50.610,00:01:58.034,He then said Puerto Rico is one of the most corrupt places on,X-HE DESC-N SAY PORTO RICO BE ONE MOST DESC-CORRUPT PLACE ON
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:01:58.034,00:02:04.707,Earth and that he is the best thing that has ever happened to,EARTH AND THAT X-HE BE DESC-BEST THING THAT HAVE DESC-EVER HAPPEN TO
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:04.707,00:02:09.170,Puerto Rico because of the billions in dollars of aid,PORTO RICO BECAUSE BILLION IN DOLLAR AID
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:09.170,00:02:13.299,approved by Congress .,APPROVE BY CONGRESS.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:13.299,00:02:18.555,Several Puerto Rican lawmakers and local politicians criticized,DESC-SEVERAL PORTRA RICOAN LEGISLATOR AND DESC-LOCAL POLITICIAN CRITIC
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:18.555,00:02:18.638,Trump by saying it was inappropriate for Trump to make,TROUBLE BY SAY X-IT BE DESC-INAPPROPRIATE FOR TROUBLE TO MAKE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:18.638,00:02:21.391,those comments while they are facing a hurricane.,THOSE COMMENT WHILE X-Y BE FACE HURRICANE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:26.855,00:02:34.320,The New York Times reported that there are only two northern,DESC-NEW YORK TIMES REPORT THAT DESC-RE BE DESC-ONLY TWO DESC-NORRN
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:34.320,00:02:38.616,"white rhinoceroses left in the world,","DESC-WHITE HYNCEROS ROME LEAVE IN WORLD,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:38.616,00:02:43.913,"a mother and a daughter, and that an international team","MOR AND TAFTERMONEY, AND THAT DESC-INTERNATIONAL TEAM"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:43.913,00:02:50.545,of scientists in Italy have successfully fertilized seven,SCIENTIST IN ITALIAN HAVE DESC-SUCCESSFULLY FERTILISE SEVEN
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:50.545,00:02:56.259,eggs extracted from the two rhinos using sperm,EGG EXTRACT FROM TWO NIROMAN USE PHOSPHOR
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:02:56.259,00:03:01.264,from male rhinos before they died.,FROM MALE NIROMAN BEFORE X-Y DIE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:01.264,00:03:08.146,"Scientists said they don't know if they will have embryos,","SCIENTIST SAY X-Y DO DESC-NOT KNOW IF X-Y WILL HAVE EMBYPTO,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:08.146,00:03:13.067,but they have proved that there is a real chance,BUT X-Y HAVE PROVE THAT DESC-RE BE DESC-REAL CHANCE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:13.067,00:03:16.154,to have offspring.,TO HAVE OFFSPRING.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:16.154,00:03:22.911,The last known male northern white rhino died last year,DESC-LAST KNOW MALE DESC-NORRN DESC-WHITE NASTRO DIE DESC-LAST YEAR
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:22.911,00:03:25.747,in Kenya.,IN KEYLAND.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:25.747,00:03:33.087,The mother and daughter lives at a conservancy in Kenya.,MOR AND TAFTER LIVE AT CONSERVANCY IN KEYMONEY.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:33.087,00:03:37.926,The two are not considered physically capable of,TWO BE DESC-NOT CONSIDER DESC-PHYSICALLY DESC-CAPABLE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:37.926,00:03:43.932,"carrying a baby to term, so scientists plan to use","CARRY BABY TO TERM, DESC-SO SCIENTIST PLAN TO USE"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:43.932,00:03:53.942,a southern white rhino act as a surrogate mother.,DESC-SOURN DESC-WHITE NIROMAN ACT AS SURROGATE MOR.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:03:53.942,00:04:02.367,Northern white rhinos are a subspecies of the southern,DESC-NORRN DESC-WHITE NIRONO BE SUBSPECY DESC-SOURN
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:02.367,00:04:10.208,white rhinoceros and are not endangered.,DESC-WHITE HYNERO AND BE DESC-NOT ENDANGER.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:10.208,00:04:16.839,Scientists say they will wait to see if the fertilized eggs,SCIENTIST SAY X-Y WILL WAIT TO SEE IF FERTILISE EGG
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:16.839,00:04:23.012,turn into blastocysts.,TURN INTO BLOCKOCYST.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:23.012,00:04:28.851,They will then figure out how to successfully transplant it,X-Y WILL DESC-N FIGURE OUT HOW TO DESC-SUCCESSFULLY TRANSPLANT X-IT
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:28.851,00:04:31.980,into a surrogate rhino.,INTO SURROGATE NIRONO.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:31.980,00:04:40.738,The gestation period is 16 months or more.,GESETATION PERIOD BE 16 MONTH OR MORE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:40.738,00:04:49.163,"There are more stored rhino cells in different locations,","DESC-RE BE MORE STORE HYNEM CELL IN DESC-DIFFERENT LOCATION,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:49.163,00:04:52.542,so there will be more chances in the future,DESC-SO DESC-RE WILL BE MORE CHANCE IN FUTURE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:04:52.542,00:04:54.544,for a successful pregnancy.,FOR DESC-SUCCESSFUL PREGNANCY.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:00.008,00:05:06.139,There is a viral video of a naked man who was seen,DESC-RE BE DESC-VIGOROUS VIDEO DESC-NAKED MAN WHO BE SEE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:06.139,00:05:15.898,chasing a police officer and attacking an elderly man,JEAN POLICE OFFICER AND ATTACK DESC-ELDERLY MAN
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:15.898,00:05:19.819,before being detained by multiple police officers,BEFORE BE DETAIN BY MULTIPLE POLICE OFFICER
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:19.819,00:05:22.613,with a K9 dog.,WITH K9 DOG.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:22.613,00:05:31.497,The man's name is Matthew Bernard,MAN X-POSS NAME BE MICHARD BARRI
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:31.497,00:05:36.419,"and he has been charged with murdering his mother,","AND X-HE HAVE BE CHARGE WITH MURDER X-HE MOR,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:36.419,00:05:40.840,"sister, and nephew.","SOR, AND NECESSUS."
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:40.840,00:05:47.388,Two of the three victims are the wife and child of,TWO THREE VICTIM BE WIFE AND CHILD
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:47.388,00:05:55.396,"a minor league pitcher with the Tampa Bay Rays organization,","DESC-MINOR LEAGUE BOWNER WITH TAMPA BAY RAY ORGANIZATION,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:05:55.396,00:06:00.526,Blake Bivens.,BLYN BIVINE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:00.526,00:06:07.158,"The wife/mother's name was Emily Bivens and their son,","WIFE/MOR X-POSS NAME BE EMMAM BIVEN AND X-Y SON,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:07.158,00:06:11.412,"Cullen, was one year old.","CULLEN, BE ONE YEAR DESC-OLD."
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:11.412,00:06:18.920,Police said there was a 911 call this morning with a report that,POLICE SAY DESC-RE BE 911 CALL THIS MORNING WITH REPORT THAT
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:18.920,00:06:26.052,there was a dead female on a driveway of a house.,DESC-RE BE DESC-DEAD FEMALE ON DRIVEROAD HOUSE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:26.052,00:06:33.059,Police found a woman and a child dead inside of the house.,POLICE FIND WOMAN AND CHILD DESC-DEAD INSIDE HOUSE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:33.059,00:06:41.442,ABC 13 News said the murder suspect unexpectedly came,ABC 13 NEWS SAY MURDER SUSPECT DESC-UNEXPECTEDLY COME
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:41.442,00:06:48.074,"running towards a media staging area,","RUN TOWARDS MEDIA STATION AREA,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:48.074,00:06:50.243,which is when the video started.,WHICH BE WHEN VIDEO START.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:50.243,00:06:55.915,A state police officer was seen chasing and running away,STATE POLICE OFFICER BE SEE HUNT AND RUN DESC-AWAY
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:06:55.915,00:07:02.463,"from the suspect, spraying mace on him,","FROM SUSPECT, SPILL MACE ON X-HE,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:02.463,00:07:10.263,and using a baton when he attacked the elderly man.,AND USE BATON WHEN X-HE ATTACK DESC-ELDERLY MAN.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:10.263,00:07:14.976,He was finally detained by multiple officers,X-HE BE DESC-FINALLY DETAIN BY MULTIPLE OFFICER
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:14.976,00:07:19.230,when he tried to run into a forested area.,WHEN X-HE TRY TO RUN INTO DESC-FORESTED AREA.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:19.230,00:07:27.029,The Virginia State Police said their officers are trained,VARIETY STATE POLICE SAY X-Y OFFICER BE TRAIN
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:27.029,00:07:34.954,to first attempt to deescalate a situation with an individual,TO DESC-FIRST ATTEMPT TO DEESCALATE SITUATION WITH INDIVIDUAL
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:34.954,00:07:42.378,who is displaying obvious mental distress and pointed out,WHO BE DISPLAY DESC-OBVIOUS DESC-MENTAL DISTRESS AND POINT OUT
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:42.378,00:07:48.384,that the suspect was not in possession of a weapon.,THAT SUSPECT BE DESC-NOT IN POSSESSION WEAPON.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:48.384,00:07:54.891,The suspect is in custody with three first-degree,SUSPECT BE IN CUSTODY WITH THREE DESC-FIRST DEGREE
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:54.891,00:07:56.851,murder charges.,MURDER CHARGE.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:07:56.851,00:08:00.480,The motive is unclear.,MOTIVE BE DESC-UNCLEAR.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:08:00.480,00:08:04.025,"The father/husband/pitcher,","FAR HUSBAND PITCHER,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:08:04.025,00:08:11.782,"Blake, played for the Montgomery Biscuits,","BLYN, PLAY FOR MONTGOMERY BICTURE,"
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:08:11.782,00:08:16.120,a Double-A affiliate of the Tampa Bay Rays.,DESC-DOUBLE A AFFILIATE FLEETBOARD BANK RAD.
-qTZYO-Fdlo,data/-qTZYO-Fdlo/-qTZYO-Fdlo.mp4,00:08:16.120,00:08:24.128,The Tampa Bay Rays tweeted that they were grieving with Blake.,TORCH BAY X-I RAY SHOT THAT X-Y BE GRIEVE WITH BUSK.
